datum;p1;p2;n1;n2;Gas;zon;p1+p2;n1+n2
24-12-2023;6772,46;5656,99;5802,19;13216,79;6012,97;4578,81;12429,45;19018,98;
25-12-2023;6790,86;5656,99;5802,19;13216,79;6016,41;4579,11;12447,85;19018,98;
26-12-2023;6797,60;5656,99;5807,38;13216,79;6018,76;4579,52;12454,60;19024,17;
27-12-2023;6799,87;5672,51;5807,38;13216,79;6021,33;4585,73;12472,38;19024,17;
28-12-2023;6801,94;5683,82;5807,38;13218,53;6026,3;4586,69;12485,76;19025,92;
29-12-2023;6804,44;5693,89;5807,38;13218,82;6029,92;4590,41;12498,33;19026,20;
30-12-2023;6811,99;5693,89;5809,49;13218,82;6033,1;4592,11;12505,88;19028,30;
31-12-2023;6821,1;5693,89;5810,43;13218,82;6037,65;4596,40;12514,90;19029,24;
01-01-2024;6827,99;5693,89;5811,28;13218,82;6042,82;4598,62;12521,88;19030,10;
02-01-2024;6830,42;5704,64;5811,28;13218,82;6047,11;4600,75;12535,6;19030,10;
03-01-2024;6832,82;5713,38;5811,28;13220,0;6051,34;4601,18;12546,21;19031,28;
04-01-2024;6835,40;5727,15;5811,28;13221,15;6055,19;4603,57;12562,55;19032,44;
05-01-2024;6836,97;5734,18;5811,28;13221,21;6058,24;4606,4;12571,14;19032,49;
06-01-2024;6847,20;5734,18;5811,28;13221,21;6063,4;4606,57;12581,37;19032,49;
07-01-2024;6857,83;5734,18;5811,50;13221,21;6068,25;4607,3;12592,1;19032,72;
08-01-2024;6863,66;5747,59;5811,50;13222,34;6074,68;4608,38;12611,25;19033,85;
09-01-2024;6869,21;5756,14;5811,50;13233,49;6082,33;4611,31;12625,35;19045,0;
10-01-2024;6874,85;5764,15;5811,50;13244,46;6091,33;4627,85;12639,0;19055,96;
11-01-2024;6879,83;5770,80;5811,50;13248,96;6101,43;4642,86;12650,63;19060,47;
12-01-2024;6883,41;5783,87;5811,50;13248,96;6118,4;4652,69;12667,28;19060,46;
13-01-2024;6898,38;5783,87;5811,50;13248,96;6124,90;4653,86;12682,25;19060,47;
14-01-2024;6910,59;5783,87;5811,51;13248,96;6131,57;4654,65;12694,46;19060,47;
15-01-2024;6914,19;5794,1;5811,51;13249,97;6138,79;4657,8;12708,19;19061,48;
16-01-2024;6918,82;5804,4;5811,51;13257,79;6147,4;4669,43;12722,85;19069,30;
17-01-2024;6923,81;5814,49;5811,51;13257,96;6155,83;4671,36;12738,30;19069,48;
18-01-2024;6928,75;5821,72;5811,51;13267,29;6163,59;4686,92;12750,47;19078,80;
19-01-2024;6933,43;5828,77;5811,51;13277,64;6170,45;4701,97;12762,20;19089,16;
20-01-2024;6947,98;5828,77;5817,55;13277,64;6177,69;4712,86;12776,75;19095,19;
21-01-2024;6960,23;5829,66;5817,77;13277,64;6186,39;4714,46;12789,89;19095,42;
22-01-2024;6962,90;5838,21;5817,77;13285,33;6191,59;4724,87;12801,11;19103,11;
